web-scraper-order,web-scraper-start-url,Telephone,Telephone-href,Etat_Telephone,Marque,RAM,Couleur,Stockage,Dimension_Ecran,Prix
"1739118751-11","https://www.expat-dakar.com/telephones?page=200","Dell Inspiron 3530 - I7 13th | 16GB RAM  | 1 Téra - Tactile
                                VenantDell
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:54
                                    
                    550 000 F Cfa
                        
                        779096699
                    
                        775706666","https://www.expat-dakar.com/annonce/dell-inspiron-3530-i7-13th-16gb-ram-1-tera-tactile-6272607","Venant","Dell","16","Noir","512","","550 000 F Cfa"
"1739118753-12","https://www.expat-dakar.com/telephones?page=200","Microsoft Surface Laptop 7 Copilot+ / X Elite /16GB / 1TB
                                NeufMicrosoft Surface
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:55
                                    
                    750 000 F Cfa
                        
                        779096699
                    
                        775706666","https://www.expat-dakar.com/annonce/microsoft-surface-laptop-7-copilot-x-elite-16gb-1tb-6263192","Neuf","Microsoft Surface","16GB","GRIS","1TB","","750 000 F Cfa"
"1739118755-13","https://www.expat-dakar.com/telephones?page=200","Téléphone Samsung Galaxy A03s
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:22
                                    
                                            Vendeur vérifié
                                        
                    93 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-samsung-galaxy-a03s-4780176","Neuf","Samsung","4 Go","BLANC","64Go","6.5 Pouces","93 000 F Cfa"
"1739118758-14","https://www.expat-dakar.com/telephones?page=200","Telephone Samsung Galaxy A03 Core
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:20
                                    
                                            Vendeur vérifié
                                        
                    63 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-samsung-galaxy-a03-core-4789639","Neuf","Samsung","2Go","Noir","32Go","6.5 Pouces","63 000 F Cfa"
"1739118761-15","https://www.expat-dakar.com/telephones?page=200","Téléphone Tecno Phantom X Ram 8Go Rom 256Go
                                NeufTecno
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:11
                                    
                                            Vendeur vérifié
                                        
                    290 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-tecno-phantom-x-ram-8go-rom-256go-4789226","Neuf","Tecno","8GO","BLEU","256GO","6.7 Pouces","290 000 F Cfa"
"1739118767-16","https://www.expat-dakar.com/telephones?page=199","HUAWEI Y9A
                                NeufHuawei
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:11
                                    
                                            Vendeur vérifié
                                        
                    142 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/huawei-y9a-5068047","Neuf","Huawei","8 GO","","128GO","6.6 Pouces","142 000 F Cfa"
"1739118769-17","https://www.expat-dakar.com/telephones?page=199","Téléphone Huawei Nova Y90
                                NeufHuawei
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:08
                                    
                                            Vendeur vérifié
                                        
                    140 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-huawei-nova-y90-5068079","Neuf","Huawei","6Go","","128Go","6.7 Pouces","140 000 F Cfa"
"1739118772-18","https://www.expat-dakar.com/telephones?page=199","Montre connectée BT Moniteur De Fréquence Cardiaque 116 plus
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        mercredi, 13:59
                                    
                    10 000 F Cfa
                        
                        781932453
                    
                        784074746
                    
                        784485061","https://www.expat-dakar.com/annonce/montre-connectee-bt-moniteur-de-frequence-cardiaque-116-plus-5167919","Neuf","","","","","","10 000 F Cfa"
"1739118774-19","https://www.expat-dakar.com/telephones?page=199","Huawei Mate XS 2 Dual SIM 512GB + 8GB
                                NeufHuawei
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        16. janv., 12:15
                                    
                    950 000 F Cfa
                        
                        783181818
                    
                        783088888","https://www.expat-dakar.com/annonce/huawei-mate-xs-2-dual-sim-512gb-8gb-5334670","Neuf","Huawei","8","beige","512","","950 000 F Cfa"
"1739118780-20","https://www.expat-dakar.com/telephones?page=199","Tecno Spark 9 ram 4Go Rom 128Go
                                NeufTecno
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:00
                                    
                                            Vendeur vérifié
                                        
                    100 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/tecno-spark-9-ram-4go-rom-128go-5320837","Neuf","Tecno","4Go","","128Go","6.6 Pouces","100 000 F Cfa"
"1739118782-21","https://www.expat-dakar.com/telephones?page=199","Téléphone Samsung A23 ram 4 rom 64 go 4G
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:58
                                    
                                            Vendeur vérifié
                                        
                    115 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-samsung-a23-ram-4-rom-64-go-4g-5437669","Neuf","Samsung","4","","64 go","6.6 Pouces","115 000 F Cfa"
"1739118785-22","https://www.expat-dakar.com/telephones?page=199","GALAXY SAMSUNG A73 128GB
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 22:58
                                    
                    279 000 F Cfa
                        
                        768882180","https://www.expat-dakar.com/annonce/galaxy-samsung-a73-128gb-5547297","Neuf","Samsung","","","128","","279 000 F Cfa"
"1739118787-23","https://www.expat-dakar.com/telephones?page=199","Chargeur sans fil de voiture 15W avec support de téléphone
                                NeufAutres
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        jeudi, 15:11
                                    
                    7 000 F Cfa
                        
                        781932453
                    
                        784074746
                    
                        784485061","https://www.expat-dakar.com/annonce/chargeur-sans-fil-de-voiture-15w-avec-support-de-telephone-5557013","Neuf","Autres","","","","","7 000 F Cfa"
"1739118789-24","https://www.expat-dakar.com/telephones?page=199","TÉLÉPHONE SAMSUNG A54 128GO RAM 6GO
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. déc. '24, 20:19
                                    
                    219 000 F Cfa
                        
                        776096472
                    
                        776096472","https://www.expat-dakar.com/annonce/telephone-samsung-a54-128go-ram-6go-5621602","Neuf","Samsung","6","Noir","128","6.0 Pouces","219 000 F Cfa"
"1739118792-25","https://www.expat-dakar.com/telephones?page=199","TÉLÉPHONE SAMSUNG A34 128GB RAM 4GB
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        16. janv., 11:06
                                    
                    219 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/telephone-samsung-a34-128gb-ram-4gb-5621623","Neuf","Samsung","4GB","Noir","128GB","","219 000 F Cfa"
"1739118798-26","https://www.expat-dakar.com/telephones?page=198","TÉLÉPHONE SAMSUNG A14 64GB RAM4GB
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        17. déc. '24, 13:55
                                    
                    113 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/telephone-samsung-a14-64gb-ram4gb-5621635","Neuf","Samsung","4GB","Nour et autres","64GB","6.0 Pouces","113 000 F Cfa"
"1739118800-27","https://www.expat-dakar.com/telephones?page=198","TÉLÉPHONE SAMSUNG A73 128GB RAM6GB
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        16. janv., 09:58
                                    
                    269 000 F Cfa
                        
                        776862827","https://www.expat-dakar.com/annonce/telephone-samsung-a73-128gb-ram6gb-5626830","Neuf","Samsung","6","Noi,blanc, bleu, vert, gris","128","6.0 Pouces","269 000 F Cfa"
"1739118803-28","https://www.expat-dakar.com/telephones?page=198","Iphone 11 pro max vert
                                VenantiPhone
                                                                                    Liberte 6 extension,
                                                                                Dakar
                                    
                                        20. nov. '24, 14:51
                                    
                    250 000 F Cfa
                        
                        771701232
                    
                        706308782","https://www.expat-dakar.com/annonce/iphone-11-pro-max-vert-5386400","Venant","iPhone","","Vert","64","","250 000 F Cfa"
"1739118805-29","https://www.expat-dakar.com/telephones?page=198","TÉLÉPHONE TECNO SPARK 8C 64GB RAM2GB
                                NeufTecno
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 11:13
                                    
                    84 000 F Cfa
                        
                        784626090
                    
                        784626090","https://www.expat-dakar.com/annonce/telephone-tecno-spark-8c-64gb-ram2gb-5667779","Neuf","Tecno","2","Plusieurs","64","6.0 Pouces","84 000 F Cfa"
"1739118807-30","https://www.expat-dakar.com/telephones?page=198","TÉLÉPHONE TECNO CAMON 19 128GO RAM6
                                NeufTecno
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        16. janv., 11:06
                                    
                    144 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/telephone-tecno-camon-19-128go-ram6-5667797","Neuf","Tecno","6","Noir","128","6.0 Pouces","144 000 F Cfa"
"1739118810-31","https://www.expat-dakar.com/telephones?page=198","TÉLÉPHONE TECNO 128GB RAM4GO
                                NeufTecno
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. déc. '24, 20:20
                                    
                    89 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/telephone-tecno-128gb-ram4go-5667809","Neuf","Tecno","4","Plusieurs","128go","5.0 Pouces","89 000 F Cfa"
"1739118812-32","https://www.expat-dakar.com/telephones?page=198","Spark 10 pro ram 8 rom 256 go
                                NeufTecno
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:38
                                    
                                            Vendeur vérifié
                                        
                    115 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/spark-10-pro-ram-8-rom-256-go-5575117","Neuf","Tecno","8","","256 Go","6.8 Pouces","115 000 F Cfa"
"1739118815-33","https://www.expat-dakar.com/telephones?page=198","Samsung A33 Ram 6Go Rom 128Go 5G
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:37
                                    
                                            Vendeur vérifié
                                        
                    190 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/samsung-a33-ram-6go-rom-128go-5g-5318385","Neuf","Samsung","6Go","","128Go","6.4 Pouces","190 000 F Cfa"
"1739118817-34","https://www.expat-dakar.com/telephones?page=198","Samsung Galaxy A54 5G
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        mercredi, 15:29
                                    
                                            Vendeur vérifié
                                        
                    235 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/samsung-galaxy-a54-5g-5594082","Neuf","Samsung","6Go","Noir- blanc- bleu","128Go","6.4 Pouces","235 000 F Cfa"
"1739118819-35","https://www.expat-dakar.com/telephones?page=198","TELEPHONE TECNO PHANTOM X
                                NeufTecno
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:28
                                    
                                            Vendeur vérifié
                                        
                    290 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-tecno-phantom-x-4833217","Neuf","Tecno","8 GO","","256 GO","6.7 Pouces","290 000 F Cfa"
"1739118825-36","https://www.expat-dakar.com/telephones?page=197","TECNO CAMON 20 RO 256GB RAM 8GB
                                NeufTecno
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. déc. '24, 15:10
                                    
                    169 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/tecno-camon-20-ro-256gb-ram-8gb-5724984","Neuf","Tecno","8","Plusieurs","256","6.0 Pouces","169 000 F Cfa"
"1739118827-37","https://www.expat-dakar.com/telephones?page=197","Téléphone Samsung Galaxy A54 5G
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:25
                                    
                                            Vendeur vérifié
                                        
                    255 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-samsung-galaxy-a54-5g-5594033","Neuf","Samsung","6Go","Noir-bleu-Mauve","256Go","6.4 Pouces","255 000 F Cfa"
"1739118830-38","https://www.expat-dakar.com/telephones?page=197","TÉLÉPHONE SAMSUNG A53 128GB RAM6GB
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. déc. '24, 15:51
                                    
                    249 000 F Cfa
                        
                        768882180","https://www.expat-dakar.com/annonce/telephone-samsung-a53-128gb-ram6gb-5752517","Neuf","Samsung","6","Plusieurs","128GB","6.0 Pouces","249 000 F Cfa"
"1739118833-39","https://www.expat-dakar.com/telephones?page=197","Huawei P60 Pro dual sim
                                NeufHuawei
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 15:03
                                    
                    600 000 F Cfa
                        
                        783181818
                    
                        783088888","https://www.expat-dakar.com/annonce/huawei-p60-pro-dual-sim-5765804","Neuf","Huawei","","","265ho","","600 000 F Cfa"
"1739118835-40","https://www.expat-dakar.com/telephones?page=197","iPhone 13 mini
                                VenantiPhone
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        25. nov. '24, 09:40
                                    
                    255 000 F Cfa
                        
                        773448645","https://www.expat-dakar.com/annonce/iphone-13-mini-5769654","Venant","iPhone","","Bleu blanc rose","128","5.4 Pouces","255 000 F Cfa"
"1739118838-41","https://www.expat-dakar.com/telephones?page=197","Montre connectée BT Moniteur De Fréquence Cardiaque 116plus
                                NeufAutres
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        mercredi, 13:54
                                    
                    10 000 F Cfa
                        
                        784074746
                    
                        784485061
                    
                        781932453","https://www.expat-dakar.com/annonce/montre-connectee-bt-moniteur-de-frequence-cardiaque-116plus-5771060","Neuf","Autres","","","","","10 000 F Cfa"
"1739118840-42","https://www.expat-dakar.com/telephones?page=197","Samsung Galaxy S23 Ultra
                                VenantSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        4. nov. '24, 22:12
                                    
                    415 000 F Cfa
                        
                        773448645","https://www.expat-dakar.com/annonce/samsung-galaxy-s23-ultra-5797794","Venant","Samsung","12","Blanc Noir Vert","256","6.8 Pouces","415 000 F Cfa"
"1739118844-43","https://www.expat-dakar.com/telephones?page=197","LG Wing 5G
                                VenantLG
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        21. nov. '24, 11:34
                                    
                    245 000 F Cfa
                        
                        773448645","https://www.expat-dakar.com/annonce/lg-wing-5g-5804755","Venant","LG","8","Black","128","6.8 Pouces","245 000 F Cfa"
"1739118846-44","https://www.expat-dakar.com/telephones?page=197","Telephone Huawei Nova 8i Rom 128Go Ram 8Go
                                NeufHuawei
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:17
                                    
                                            Vendeur vérifié
                                        
                    130 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-huawei-nova-8i-rom-128go-ram-8go-5318463","Neuf","Huawei","8Go","","128Go","6.6 Pouces","130 000 F Cfa"
"1739118849-45","https://www.expat-dakar.com/telephones?page=197","Téléphone Samsung Galaxy A34
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:15
                                    
                                            Vendeur vérifié
                                        
                    160 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-samsung-galaxy-a34-5593991","Neuf","Samsung","6Go","","128Go","6.6 Pouces","160 000 F Cfa"
"1739118854-46","https://www.expat-dakar.com/telephones?page=196","iPhone 14 Pro
                                VenantiPhone
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        18. nov. '24, 14:12
                                    
                    485 000 F Cfa
                        
                        773448645","https://www.expat-dakar.com/annonce/iphone-14-pro-5815228","Venant","iPhone","","Mauve Gold","128GB","6.1 Pouces","485 000 F Cfa"
"1739118856-47","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy Z Flip 5 256Go
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 15:03
                                    
                    45 000 F Cfa
                        
                        783181818
                    
                        783088888","https://www.expat-dakar.com/annonce/samsung-galaxy-z-flip-5-256go-5827863","Neuf","Samsung","8","","256","","45 000 F Cfa"
"1739118859-48","https://www.expat-dakar.com/telephones?page=196","Telephone Huawei Nova 10Se
                                NeufHuawei
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:13
                                    
                                            Vendeur vérifié
                                        
                    185 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/telephone-huawei-nova-10se-4833181","Neuf","Huawei","8Go","NOIR","256 Go","6.5 Pouces","185 000 F Cfa"
"1739118861-49","https://www.expat-dakar.com/telephones?page=196","Spark 10 pro ram 8 rom 128 go
                                NeufTecno
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:13
                                    
                                            Vendeur vérifié
                                        
                    100 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/spark-10-pro-ram-8-rom-128-go-5575122","Neuf","Tecno","8","","128 go","6.8 Pouces","100 000 F Cfa"
"1739118864-50","https://www.expat-dakar.com/telephones?page=196","Tecno Spark 10 – Mémoire 128Go – Ram 8Go
                                NeufTecno
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:12
                                    
                                            Vendeur vérifié
                                        
                    85 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/tecno-spark-10-memoire-128go-ram-8go-5831989","Neuf","Tecno","8","","128","6.6 Pouces","85 000 F Cfa"
"1739118867-51","https://www.expat-dakar.com/telephones?page=196","Tecno SPARK 10 C – Mémoire 128 Go – RAM 4 Go
                                NeufTecno
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:12
                                    
                                            Vendeur vérifié
                                        
                    75 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/tecno-spark-10-c-memoire-128-go-ram-4-go-5832058","Neuf","Tecno","4","","128","6.8 Pouces","75 000 F Cfa"
"1739118869-52","https://www.expat-dakar.com/telephones?page=196","Huawei Nova 9Se Ram 8Go Rom 128Go
                                NeufHuawei
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:11
                                    
                                            Vendeur vérifié
                                        
                    170 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/huawei-nova-9se-ram-8go-rom-128go-5318493","Neuf","Huawei","8Go","","128Go","6.7 Pouces","170 000 F Cfa"
"1739118872-53","https://www.expat-dakar.com/telephones?page=196","TÉLÉPHONE TECNO POP7 PRO 64GB RAM 4GB
                                NeufTecno
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        22. janv., 09:36
                                    
                    79 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/telephone-tecno-pop7-pro-64gb-ram-4gb-5850287","Neuf","Tecno","4","Tout","64","6.0 Pouces","79 000 F Cfa"
"1739118874-54","https://www.expat-dakar.com/telephones?page=196","Samsung Galaxy A14 Mémoire 64 Go
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 12:07
                                    
                                            Vendeur vérifié
                                        
                    92 500 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/samsung-galaxy-a14-memoire-64-go-5559202","Neuf","Samsung","4","","64","6.6 Pouces","92 500 F Cfa"
"1739118876-55","https://www.expat-dakar.com/telephones?page=196","Xiaomi Redmi Note 11 Pro RAM 4
                                NeufXiaomi
                                                                                    Médina,
                                                                                Dakar
                                    
                                        5. déc. '24, 10:42
                                    
                                            Vendeur vérifié
                                        
                    168 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/xiaomi-redmi-note-11-pro-ram-4-5527166","Neuf","Xiaomi","4","","128","6.6 Pouces","168 000 F Cfa"
"1739118882-56","https://www.expat-dakar.com/telephones?page=195","SAMSUNG GALAXY A03 Rom 128Go Ram 3Go
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        5. déc. '24, 10:54
                                    
                                            Vendeur vérifié
                                        
                    83 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/samsung-galaxy-a03-rom-128go-ram-3go-5855005","Neuf","Samsung","4Go","Rouge - Bleu - Noir","128Go","6.5 Pouces","83 000 F Cfa"
